,Candidate,Party,Criminal.Cases,Education,Age,Total.Assets,Liabilities,Constituency,State,District,Year
210,Gurupadagouda Sanganagouda Patil,INC,0,12th Pass,75,68302000,2382348,RON,KARNATAKA,GADAG,2023
211,Dr.Chandru Lamani,BJP,1,Post Graduate,34,61483532,40495379,SHIRAHATTI (SC),KARNATAKA,GADAG,2023
212,M.Y.Patil,INC,0,Graduate,82,46932109,3323000,AFZALPUR,KARNATAKA,GULBARGA,2023
213,Bhojaraj,INC,0,Graduate Professional,73,41736617,4821900,ALAND,KARNATAKA,GULBARGA,2023
214,Avinash Umesh Jadhav,BJP,0,Graduate Professional,34,27180652,9630394,CHINCHOLI (SC),KARNATAKA,GULBARGA,2023
215,Priyank Kharge,INC,9,10th Pass,44,168310621,2875000,CHITTAPUR (SC),KARNATAKA,GULBARGA,2023
216,Allamprabhu Patil,INC,0,Graduate,67,68462021,10738899,GULBARGA DAKSHIN,KARNATAKA,GULBARGA,2023
217,Basawaraj Mattimudu,BJP,0,12th Pass,43,268652641,130204161,GULBARGA RURAL (SC),KARNATAKA,GULBARGA,2023
218,Kaneez Fatima,INC,0,12th Pass,64,184367677,853448,GULBARGA UTTAR,KARNATAKA,GULBARGA,2023
219,Ajay Dharam Singh,INC,1,Graduate Professional,49,657904532,378416840,JEVARGI,KARNATAKA,GULBARGA,2023
220,Dr. Sharanprakash Rudrappa Patil,INC,3,Post Graduate,55,287095878,143053723,SEDAM,KARNATAKA,GULBARGA,2023
221,A. Manju,JD(S),0,Graduate Professional,66,373600436,40035568,ARAKALGUD,KARNATAKA,HASSAN,2023
222,K M Shivalingegowda,INC,0,Graduate,65,94299541,73608331,ARSIKERE,KARNATAKA,HASSAN,2023
223,H K Suresh,BJP,0,Others,52,4353050751,126127619,BELUR,KARNATAKA,HASSAN,2023
224,H. P. Swaroop,JD(S),0,Graduate Professional,40,76138629,20839735,HASSAN,KARNATAKA,HASSAN,2023
225,H D Revanna,JD(S),0,10th Pass,65,800203059,152478385,HOLENARASIPUR,KARNATAKA,HASSAN,2023
226,S Manjunatha,BJP,0,10th Pass,41,63925113,18164398,SAKALESHPUR (SC),KARNATAKA,HASSAN,2023
227,C N Balakrishna,JD(S),0,Graduate,54,94997930,37251174,SHRAVANABELAGOLA,KARNATAKA,HASSAN,2023
228,Basavaraj Neelappa Shivannanavar,INC,0,Graduate,69,44682045,23438029,BYADGI,KARNATAKA,HAVERI,2023
229,Mane Srinivas,INC,0,Graduate,48,101433096,30415650,HANGAL,KARNATAKA,HAVERI,2023
230,Rudrappa Manappa Lamani,INC,0,Graduate,64,103682530,34463477,HAVERI (SC),KARNATAKA,HAVERI,2023
231,Ujaneshwar Basavannappa Banakar,INC,0,Graduate Professional,63,57439041,891826,HIREKERUR,KARNATAKA,HAVERI,2023
232,Prakash Koliwad,INC,0,Graduate Professional,54,646462474,38233742,RANEBENNUR,KARNATAKA,HAVERI,2023
233,Basavaraj Bommai,BJP,0,Graduate Professional,63,521356863,59420772,SHIGGAON,KARNATAKA,HAVERI,2023
234,Dr. Mantar Gowda,INC,0,Post Graduate,38,70636564,2200000,MADIKERI,KARNATAKA,KODAGU,2023
235,A.S.Ponnanna,INC,0,Graduate Professional,48,303406891,46374990,VIRAJPET,KARNATAKA,KODAGU,2023
236,S.N. Narayanaswamy. K.M,INC,1,Graduate,55,462691047,144910672,BANGARAPET (SC),KARNATAKA,KOLAR,2023
237,Kothur.G. Manjunatha,INC,1,10th Pass,45,307839915,54192000,KOLAR,KARNATAKA,KOLAR,2023
238,Roopa Kala. M,INC,2,Post Graduate,43,123332000,14900000,KOLAR GOLD FIELD (SC),KARNATAKA,KOLAR,2023
239,K.Y.Nanjegowda,INC,4,8th Pass,56,252811726,45540329,MALUR,KARNATAKA,KOLAR,2023
240,Samruddhi V. Manjunath,JD(S),2,12th Pass,41,597023550,174598335,MULBAGAL (SC),KARNATAKA,KOLAR,2023
241,G.K. Venkatashivareddy,JD(S),1,Graduate Professional,76,158277352,25000,SRINIVASAPUR,KARNATAKA,KOLAR,2023
242,G Janardhan Reddy,Kalyana Rajya Pragathi Paksha,20,10th Pass,56,2465142443,0,GANGAVATHI,KARNATAKA,KOPPAL,2023
243,Tangadagi Shivaraj Sangappa,INC,0,Graduate,53,170242177,82200342,KANAKAGIRI (SC),KARNATAKA,KOPPAL,2023
244,K. Raghavendra Basavaraj Hitnal,INC,1,12th Pass,44,146673481,110157639,KOPPAL,KARNATAKA,KOPPAL,2023
245,Doddanagouda Hanamagouda Patil,BJP,1,12th Pass,49,38183033,1025526,KUSHTAGI,KARNATAKA,KOPPAL,2023
246,Basavaraj Rayareddi,INC,0,Graduate Professional,67,436418121,4.50E+07,YELBURGA,KARNATAKA,KOPPAL,2023
247,H T Manju,JD(S),2,Graduate,49,709288021,47868184,KRISHNARAJPET,KARNATAKA,MANDYA,2023
248,Udaya K M,INC,3,10th Pass,48,1026371651,32245730,MADDUR,KARNATAKA,MANDYA,2023
249,P.M.Narendraswamy,INC,1,Graduate Professional,61,230174903,51965430,MALAVALLI (SC),KARNATAKA,MANDYA,2023
250,Ravikumar Gowda (Ganiga),INC,7,12th Pass,43,215440276,182140006,MANDYA,KARNATAKA,MANDYA,2023
251,Dharshan Puttannaiah,Sarvodaya Karnataka Paksha,0,Graduate Professional,46,401519434,209744535,MELUKOTE,KARNATAKA,MANDYA,2023
252,N. Chaluvarayaswamy,INC,1,10th Pass,62,718826361,164523017,NAGAMANGALA,KARNATAKA,MANDYA,2023
253,A.B. Ramesha Bandisiddegowda,INC,2,Others,50,159288753,19706800,SHRIRANGAPATTANA,KARNATAKA,MANDYA,2023
254,K. Harish Gowda,INC,0,12th Pass,50,38289960,6800000,CHAMARAJA,KARNATAKA,MYSORE,2023
255,G. T. Devegowda,JD(S),0,8th Pass,73,228091473,99138842,CHAMUNDESHWARI,KARNATAKA,MYSORE,2023
256,Anil Chikkamadhu,INC,2,10th Pass,34,149443273,20451438,HEGGADADEVANKOTE (ST),KARNATAKA,MYSORE,2023
257,G.D. Harish Gowda,JD(S),1,Graduate Professional,36,375957457,335072848,HUNSUR,KARNATAKA,MYSORE,2023
258, T.S. Srivathsa,BJP,0,Graduate,56,4889436,135000,KRISHNARAJA,KARNATAKA,MYSORE,2023
259,Ravishankar D,INC,1,Graduate Professional,47,72266997,2102000,KRISHNARAJANAGARA,KARNATAKA,MYSORE,2023
260,Darshan Dhruvanarayana,INC,1,Post Graduate,28,42597695,0,NANJANGUD (SC),KARNATAKA,MYSORE,2023
261,Tanveer Sait,INC,1,Graduate Professional,56,90426367,3875035,NARASIMHARAJA,KARNATAKA,MYSORE,2023
262,K Venkatesh,INC,0,Graduate,74,182906717,76426000,PIRIYAPATNA,KARNATAKA,MYSORE,2023
263,Dr. H C Mahadevappa,INC,2,Graduate Professional,70,38217051,4431900,T. NARASIPUR (SC),KARNATAKA,MYSORE,2023
264,Siddaramaiah,INC,13,Graduate Professional,75,519388910,237650976,VARUNA,KARNATAKA,MYSORE,2023
265,Karemma,JD(S),7,12th Pass,50,9874000,2159000,DEVADURGA (ST),KARNATAKA,RAICHUR,2023
266,Manappa D Vajjal,BJP,0,5th Pass,59,307477543,0,LINGSUGUR (SC),KARNATAKA,RAICHUR,2023
267,G Hampayya Nayak,INC,0,10th Pass,84,25655566,3435371,MANVI (ST),KARNATAKA,RAICHUR,2023
268,Basan Gouda Turvihal,INC,1,10th Pass,58,29965452,3112602,MASKI (ST),KARNATAKA,RAICHUR,2023
269,Dr. Shivaraj Patil,BJP,0,Post Graduate,52,196791788,52665557,RAICHUR,KARNATAKA,RAICHUR,2023
270,Basanagouda Daddal,INC,1,12th Pass,51,106206942,8731726,RAICHUR RURAL (ST),KARNATAKA,RAICHUR,2023
271,Hampanagouda Badarli,INC,1,Graduate,73,94013248,26484062,SINDHANUR,KARNATAKA,RAICHUR,2023
272,H.D. Kumaraswamy,JD(S),5,Graduate,64,1892782794,766996588,CHANNAPATNA,KARNATAKA,RAMANAGARAM,2023
273,D K Shivakumar,INC,19,Post Graduate,60,14138002404,2650692812,KANAKAPURA,KARNATAKA,RAMANAGARAM,2023
274,H. C. Balakrishna,INC,2,Graduate Professional,58,353065853,123666256,MAGADI,KARNATAKA,RAMANAGARAM,2023
275,H. A. Iqbal Hussain,INC,5,Graduate,62,956503894,88254962,RAMANAGARAM,KARNATAKA,RAMANAGARAM,2023
276,B.K. Sanagameshwara,INC,4,10th Pass,60,69748411,28386203,BHADRAVATHI,KARNATAKA,SHIMOGA,2023
277,Gopala Krishna Beluru,INC,0,12th Pass,59,48030029,0,SAGAR,KARNATAKA,SHIMOGA,2023
278,Vijayendra Yediyurappa,BJP,2,Graduate Professional,47,1261878468,345200647,SHIKARIPURA,KARNATAKA,SHIMOGA,2023
279,Channabasappa (Chenni),BJP,1,8th Pass,59,12098952,3230970,SHIMOGA,KARNATAKA,SHIMOGA,2023
280,Sharada Puryanaik,JD(S),0,10th Pass,52,30098390,13903581,SHIMOGA RURAL (SC),KARNATAKA,SHIMOGA,2023
281,Madhu Bangarappa,INC,2,Graduate,57,695121427,260467000,SORAB,KARNATAKA,SHIMOGA,2023
282,Araga Jnanendra,BJP,0,Graduate,70,62858539,6.00E+05,TIRTHAHALLI,KARNATAKA,SHIMOGA,2023
283,C B Suresh Babu,JD(S),0,10th Pass,52,18618000,955181,CHIKKNAYAKANHALLI,KARNATAKA,TUMKUR,2023
284,S R Srinivas (Vasu),INC,1,Graduate,60,172671851,62809925,GUBBI,KARNATAKA,TUMKUR,2023
285,Dr. G. Parameshwara,INC,3,Doctorate,72,212700996,92318176,KORATAGERE (SC),KARNATAKA,TUMKUR,2023
286,Dr. H D Ranganath,INC,8,Post Graduate,52,388026317,116999658,KUNIGAL,KARNATAKA,TUMKUR,2023
287,Kyathasandra N. Rajanna,INC,0,Graduate Professional,72,350503607,126712282,MADHUGIRI,KARNATAKA,TUMKUR,2023
288,H.V.Venkatesh,INC,0,Graduate Professional,46,222564672,66266046,PAVAGADA (SC),KARNATAKA,TUMKUR,2023
289,T B Jayachandra,INC,6,Graduate Professional,74,396849065,20534123,SIRA,KARNATAKA,TUMKUR,2023
290,K Shadakshari,INC,0,Graduate,74,105683460,47809263,TIPTUR,KARNATAKA,TUMKUR,2023
291,G B Jyothi Ganesh,BJP,0,Graduate Professional,47,345946757,72584713,TUMKUR CITY,KARNATAKA,TUMKUR,2023
292,B.Suresh Gowda,BJP,2,Graduate,58,139740978,9700000,TUMKUR RURAL,KARNATAKA,TUMKUR,2023
293,M.T.Krishnappa,JD(S),8,Graduate,71,21421690,115000,TURUVEKERE,KARNATAKA,TUMKUR,2023
294,Gururaj Shetty Gantihole,BJP,1,Others,42,97541010,107551808,BAINDUR,KARNATAKA,UDUPI,2023
295,Gurme Suresh Shetty,BJP,3,Graduate,60,332958223,38535063,KAPU,KARNATAKA,UDUPI,2023
296,V Sunill Kumar,BJP,1,Graduate,47,79837365,4852656,KARKALA,KARNATAKA,UDUPI,2023
297,A Kiran Kumar Kodgi,BJP,0,Graduate,60,199717465,17806000,KUNDAPUR,KARNATAKA,UDUPI,2023
298,Yashpal,BJP,1,12th Pass,44,69526672,28534604,UDUPI,KARNATAKA,UDUPI,2023
299,Mankal Vaidya,INC,1,8th Pass,51,642419070,361187037,BHATKAL,KARNATAKA,UTTARA KANNADA,2023
300,Deshpande Raghunath,INC,1,Graduate Professional,76,3632113405,140883428,HALIYAL,KARNATAKA,UTTARA KANNADA,2023
301,Satish Krishna Sail,INC,14,Graduate,57,568440450,176330172,KARWAR,KARNATAKA,UTTARA KANNADA,2023
302,Dinakar Keshav Shetty,BJP,0,12th Pass,65,43906516,977000,KUMTA,KARNATAKA,UTTARA KANNADA,2023
303,Bhimanna T. Naik,INC,0,5th Pass,66,1229747533,692349549,SIRSI,KARNATAKA,UTTARA KANNADA,2023
304,Arabail Hebbar Shivaram,BJP,1,10th Pass,65,212788863,23156381,YELLAPUR,KARNATAKA,UTTARA KANNADA,2023
305,Krishna Nayaka,BJP,1,Graduate Professional,40,428052937,347171669,HADAGALI (SC),KARNATAKA,VIJAYANAGAR,2023
306,Nemarajanaik.K,JD(S),3,Graduate,52,100109183,29292072,HAGARIBOMMANAHALLI (SC),KARNATAKA,VIJAYANAGAR,2023
307,Latha Mallikarjun,IND,0,12th Pass,57,72929747,6491783,HARAPANAHALLI,KARNATAKA,VIJAYANAGAR,2023
308,Srinivas N T,INC,0,Post Graduate,47,159229538,30980000,KUDLIGI (ST),KARNATAKA,VIJAYANAGAR,2023
309,H.R.Gaviyappa,INC,1,10th Pass,60,485349735,1517913,VIJAYANAGARA,KARNATAKA,VIJAYANAGAR,2023
310,Sharana Gowda Kandakur,JD(S),3,Graduate,41,25519688,3053900,GURMITKAL,KARNATAKA,YADGIR,2023
311,Sharanabasappa Darshanapur,INC,0,Graduate Professional,63,152729887,9139612,SHAHAPUR,KARNATAKA,YADGIR,2023
312,Raja Venkatappa Naik,INC,6,12th Pass,66,232952188,7930000,SHORAPUR (ST),KARNATAKA,YADGIR,2023
313,Channareddy Patil Tunnur,INC,0,12th Pass,75,111827390,6745746,YADGIR,KARNATAKA,YADGIR,2023
314,Madhav Singh,BJP,0,12th Pass,49,83683820,5763672,AGAR (SC),MADHYA PRADESH,AGAR-MALWA,2023
315,Bhairon Singh (Bapu),INC,2,10th Pass,52,51639806,4712304,SUSNER,MADHYA PRADESH,AGAR-MALWA,2023
316,Chouhan Nagar Singh,BJP,1,Graduate,45,46090240,691000,ALIRAJPUR (ST),MADHYA PRADESH,ALIRAJPUR,2023
317,Sena Mahesh Patel,INC,2,Graduate,47,42009745,7590030,JOBAT (ST),MADHYA PRADESH,ALIRAJPUR,2023
318,Bisahu Lal Singh,BJP,12,Graduate,73,149072715,10519380,ANUPPUR (ST),MADHYA PRADESH,ANUPPUR,2023
319,Dilip Jaiswal,BJP,1,12th Pass,62,72989129,1.00E+05,KOTMA,MADHYA PRADESH,ANUPPUR,2023
320,Phundelal Singh Marko,INC,1,Post Graduate,58,23569033,9751703,PUSHPRAJGARH (ST),MADHYA PRADESH,ANUPPUR,2023
321,Haribaboo Rai,INC,3,Graduate Professional,63,43507890,11562339,ASHOK NAGAR (SC),MADHYA PRADESH,ASHOK NAGAR,2023
322,Jagannath Singh Raghuwanshi,BJP,0,Post Graduate,75,86168162,997571,CHANDERI,MADHYA PRADESH,ASHOK NAGAR,2023
323,Brajendra Singh Yadav,BJP,0,5th Pass,53,33234750,12599319,MUNGAOLI,MADHYA PRADESH,ASHOK NAGAR,2023
324,Sanjay Uikey,INC,0,Post Graduate,55,19846185,3888000,BAIHAR (ST),MADHYA PRADESH,BALAGHAT,2023
325,Anubha Munjare,INC,3,Post Graduate,57,51929115,8.00E+05,BALAGHAT,MADHYA PRADESH,BALAGHAT,2023
326,Gaurav Singh Pardhi,BJP,0,Post Graduate,44,42097210,1700000,KATANGI,MADHYA PRADESH,BALAGHAT,2023
327,Rajkumar Karrahe,BJP,0,Graduate Professional,46,83120736,0,LANJI,MADHYA PRADESH,BALAGHAT,2023
328,Madhu Bhau Bhagat,INC,1,12th Pass,58,3144743,0,PARASWADA,MADHYA PRADESH,BALAGHAT,2023
329,Vivek Vicky Patel,INC,0,Post Graduate,52,37169314,0,WARASEONI,MADHYA PRADESH,BALAGHAT,2023
330,Rajan Mandloi,INC,2,Post Graduate,50,52414998,13160166,BADWANI (ST),MADHYA PRADESH,BARWANI,2023
331,Shyam Barde,BJP,0,Post Graduate,47,6320527,6.00E+05,PANSEMAL (ST),MADHYA PRADESH,BARWANI,2023
332,Bala Bachchan,INC,0,Graduate Professional,59,173002766,4341852,RAJPUR (ST),MADHYA PRADESH,BARWANI,2023
333,Montu Solanki,INC,4,12th Pass,41,3941237,2800000,SENDHWA (ST),MADHYA PRADESH,BARWANI,2023
334,Dr. Yogesh Pandagre,BJP,0,Post Graduate,46,65748913,22351902,AMLA (SC),MADHYA PRADESH,BETUL,2023
335,Hemant Vijay Khandelwal,BJP,0,Graduate Professional,59,415086306,173994878,BETUL,MADHYA PRADESH,BETUL,2023
336,Mahendra Singh Chouhan,BJP,0,8th Pass,50,37625625,261160,BHAINSDEHI (ST),MADHYA PRADESH,BETUL,2023
337,Ganga Sajjan Singh Uikey,BJP,0,Graduate,50,34885645,454000,GHORADONGRI (ST),MADHYA PRADESH,BETUL,2023
338,Chandrashekhar Deshmukh,BJP,0,Graduate,67,43315623,311092,MULTAI,MADHYA PRADESH,BETUL,2023
339,Hemant Satyadev Katare,INC,2,Graduate Professional,37,20713802,21387536,ATER,MADHYA PRADESH,BHIND,2023
340,Narendra Singh Kushwah,BJP,3,12th Pass,63,23308292,1821101,BHIND,MADHYA PRADESH,BHIND,2023
341,Keshav Singh Desai,INC,1,10th Pass,57,12439586,0,GOHAD (SC),MADHYA PRADESH,BHIND,2023
342,Ambrish Sharma (Guddu),BJP,0,Graduate Professional,48,51759779,0,LAHAR,MADHYA PRADESH,BHIND,2023
343,Rakesh Shukla,BJP,0,Graduate,57,17441410,0,MEHGAON,MADHYA PRADESH,BHIND,2023
344,Vishnu Khatri,BJP,0,Graduate Professional,51,83202945,11447148,BERASIA (SC),MADHYA PRADESH,BHOPAL,2023
345,Bhagwandas Sabnani,BJP,0,12th Pass,58,37162435,3439157,BHOPAL DAKSHIN-PASCHIM,MADHYA PRADESH,BHOPAL,2023
346,Arif Masood,INC,6,Post Graduate,51,77858865,5372460,BHOPAL MADHYA,MADHYA PRADESH,BHOPAL,2023
347,Atif Arif Aqueel,INC,0,Graduate Professional,33,14009220,0,BHOPAL UTTAR,MADHYA PRADESH,BHOPAL,2023
348,Krishna Gaur,BJP,0,Post Graduate,55,101201366,5914487,GOVINDPURA,MADHYA PRADESH,BHOPAL,2023
349,Rameshwar Sharma,BJP,1,Graduate,53,84082150,34152522,HUZUR,MADHYA PRADESH,BHOPAL,2023
350,Vishvas Sarang,BJP,0,Graduate Professional,51,188171194,57530201,NARELA,MADHYA PRADESH,BHOPAL,2023
351,Archana Chitnis,BJP,2,Post Graduate,59,33236853,0,BURHANPUR,MADHYA PRADESH,BURHANPUR,2023
352,Manju Rajendra Dadu,BJP,1,Graduate Professional,34,7851200,0,NEPANAGAR (ST),MADHYA PRADESH,BURHANPUR,2023
353,Bablu Rajesh Shukla,BJP,0,12th Pass,53,68970150,3656446,BIJAWAR,MADHYA PRADESH,CHHATARPUR,2023
354,Ahirwar Dileep,BJP,3,10th Pass,46,23569544,1742117,CHANDLA (SC),MADHYA PRADESH,CHHATARPUR,2023
355,Lalita Yadav,BJP,0,Graduate,61,28483672,0,CHHATARPUR,MADHYA PRADESH,CHHATARPUR,2023
356,Kamakhya Pratap Singh (Teeka Raja),BJP,0,Graduate,36,15721236,4252440,MAHARAJPUR,MADHYA PRADESH,CHHATARPUR,2023
357,Bahin Ramsiya Bharti,INC,0,12th Pass,36,3644326,162561,MALHARA,MADHYA PRADESH,CHHATARPUR,2023
358,Arvind Pateriya,BJP,3,Graduate,42,16639547,0,RAJNAGAR,MADHYA PRADESH,CHHATARPUR,2023
359,Kamlesh Pratap Shah,INC,0,10th Pass,51,162490000,33500000,AMARWARA (ST),MADHYA PRADESH,CHHINDWARA,2023
360,Kamal Nath,INC,2,Graduate,76,1342475811,1200000,CHHINDWARA,MADHYA PRADESH,CHHINDWARA,2023
361,Choudhary Sujeet Mersingh,INC,0,Post Graduate,54,19003778,1930193,CHURAI,MADHYA PRADESH,CHHINDWARA,2023
362,Sunil Uikey,INC,2,Graduate,47,98861036,65595446,JUNNARDEO (ST),MADHYA PRADESH,CHHINDWARA,2023
363,Neelesh Pusaram Uikey,INC,1,Graduate,42,10162357,205331,PANDHURNA (ST),MADHYA PRADESH,CHHINDWARA,2023
364,Sohanlal Balmik,INC,0,12th Pass,60,25805560,12089880,PARASIA (SC),MADHYA PRADESH,CHHINDWARA,2023
365,Vijay Revnath Chore,INC,0,12th Pass,52,18692962,6700000,SAUNSAR,MADHYA PRADESH,CHHINDWARA,2023
366,Jayant Malaiya,BJP,1,Graduate Professional,76,398297899,4744851,DAMOH,MADHYA PRADESH,DAMOH,2023
367,Umadevi Lalchand Khatik,BJP,0,12th Pass,61,38089670,5.00E+05,HATTA (SC),MADHYA PRADESH,DAMOH,2023
368,Dharmendra Bhav Singh Lodhi,BJP,0,Post Graduate,45,12576848,3808008,JABERA,MADHYA PRADESH,DAMOH,2023
369,Lakhan Patel,BJP,1,Post Graduate,67,43789573,311307,PATHARIYA,MADHYA PRADESH,DAMOH,2023
370,Phool Singh Baraiya,INC,2,Graduate Professional,61,24413554,31567366,BHANDER (SC),MADHYA PRADESH,DATIA,2023
371,Rajendra Bharti,INC,6,Graduate Professional,64,16030588,2580000,DATIA,MADHYA PRADESH,DATIA,2023
372,Pradeep Agrawal,BJP,0,Graduate,54,50877013,3684568,SEWDA,MADHYA PRADESH,DATIA,2023
373,Murli Bhawara,BJP,0,Post Graduate,44,3738455,1321937,BAGLI (ST),MADHYA PRADESH,DEWAS,2023
374,Gayatri Raje Puar,BJP,0,Graduate,58,172919250,4917291,DEWAS,MADHYA PRADESH,DEWAS,2023
375,Manoj Narayansingh Choudhari,BJP,0,Post Graduate,48,27449994,1902951,HATPIPLIYA,MADHYA PRADESH,DEWAS,2023
376,Aashish Govind Sharma,BJP,0,Post Graduate,45,13475678,1437952,KHATEGAON,MADHYA PRADESH,DEWAS,2023
377,Dr. Rajesh Sonkar,BJP,4,Doctorate,55,21751648,8.00E+06,SONKATCH (SC),MADHYA PRADESH,DEWAS,2023
378,Bhanwarsingh Shekhawat (Babu Ji),INC,1,Post Graduate,74,58974640,0,BADNAWAR,MADHYA PRADESH,DHAR,2023
379,Neena Vikram Verma,BJP,0,12th Pass,66,110488938,11058755,DHAR,MADHYA PRADESH,DHAR,2023
380,Kalusingh Thakur,BJP,0,8th Pass,54,26730636,8.00E+05,DHARAMPURI (ST),MADHYA PRADESH,DHAR,2023
381,Umang Singhar,INC,2,Graduate,49,37943019,1015290,GANDHWANI (ST),MADHYA PRADESH,DHAR,2023
382,Baghel Surendra Singh Honey,INC,1,Graduate,45,47524844,24060400,KUKSHI (ST),MADHYA PRADESH,DHAR,2023
383,Dr. Hiralal Alawa,INC,1,Post Graduate,41,22881682,4875222,MANAWAR (ST),MADHYA PRADESH,DHAR,2023
384,Pratap Grewal,INC,0,Graduate Professional,56,13207332,349339,SARDARPUR (ST),MADHYA PRADESH,DHAR,2023
385,Omkar Singh Markam,INC,0,Post Graduate,47,13395497,0,DINDORI (ST),MADHYA PRADESH,DINDORI,2023
386,Omprakash Dhurwey,BJP,0,12th Pass,62,24060909,15529124,SHAHPURA (ST),MADHYA PRADESH,DINDORI,2023
387,Rishi Agrawal,INC,0,Post Graduate,42,55597008,7582217,BAMORI,MADHYA PRADESH,GUNA,2023
388,Priyanka Penchi,BJP,0,Graduate Professional,32,6406098,0,CHACHOURA,MADHYA PRADESH,GUNA,2023
389,Panna Lal Shakya,BJP,0,Graduate Professional,73,6183700,350000,GUNA (SC),MADHYA PRADESH,GUNA,2023
390,Jaivardhan Singh,INC,1,Post Graduate,37,648050839,47550047,RAGHOGARH,MADHYA PRADESH,GUNA,2023
391,Mohan Singh Rathore,BJP,0,12th Pass,68,249283823,16263526,BHITARWAR,MADHYA PRADESH,GWALIOR,2023
392,Suresh Raje,INC,0,8th Pass,62,17376080,260000,DABRA (SC),MADHYA PRADESH,GWALIOR,2023
393,Pradhuman Singh Tomar,BJP,2,12th Pass,53,38716522,5927983,GWALIOR,MADHYA PRADESH,GWALIOR,2023
394,Dr Satish Sikarwar,INC,0,Doctorate,53,13726841,2897305,GWALIOR EAST,MADHYA PRADESH,GWALIOR,2023
395,Sahab Singh Gurjar,INC,6,Graduate,52,271232800,1520326,GWALIOR RURAL,MADHYA PRADESH,GWALIOR,2023
396,Narayan Singh Kushwah,BJP,0,12th Pass,67,15882806,6.00E+05,GWALIOR SOUTH,MADHYA PRADESH,GWALIOR,2023
397,Dr. Ram Kishore Dogne,INC,4,Doctorate,58,140306751,1823760,HARDA,MADHYA PRADESH,HARDA,2023
398,Abhijeet Shah (Ankit Baba),INC,1,Graduate Professional,31,22675439,13553901,TIMARNI (ST),MADHYA PRADESH,HARDA,2023
399,Manoj Nirbhay Singh Patel,BJP,0,10th Pass,50,251273660,99082183,DEPALPUR,MADHYA PRADESH,INDORE,2023
400,Usha Babu Singh Thakur,BJP,0,Post Graduate,57,5872690,82218,DR.AMBEDKAR NAGAR -MHOW,MADHYA PRADESH,INDORE,2023
401,Kailash Vijayvargiya,BJP,5,Graduate Professional,67,146176952,4200000,INDORE-1,MADHYA PRADESH,INDORE,2023
402,Ramesh Mendola,BJP,2,Post Graduate,63,21476471,2901727,INDORE-2,MADHYA PRADESH,INDORE,2023
403,Golu Shukla  Alias Rakesh Shukla,BJP,0,12th Pass,48,615329635,69588166,INDORE-3,MADHYA PRADESH,INDORE,2023
404,Malini Laxmansingh Gaur,BJP,0,Graduate,62,48798877,6258162,INDORE-4,MADHYA PRADESH,INDORE,2023
405,Mahendra Hardia,BJP,0,Post Graduate,70,77714559,11415350,INDORE-5,MADHYA PRADESH,INDORE,2023
406,Madhu Verma,BJP,0,10th Pass,71,115976238,7055708,RAU,MADHYA PRADESH,INDORE,2023
407,Tulsiram Silawat,BJP,1,Post Graduate,67,144595452,1154224,SANWER (SC),MADHYA PRADESH,INDORE,2023
408,Neeraj Singh Lodhi,BJP,1,Post Graduate,45,68628201,4631622,BARGI,MADHYA PRADESH,JABALPUR,2023
409,Ashok Ishwardas Rohani,BJP,0,12th Pass,58,49983351,14059540,JABALPUR CANTT.,MADHYA PRADESH,JABALPUR,2023
410,Rakesh Singh,BJP,0,Graduate,61,43623045,0,JABALPUR PASCHIM,MADHYA PRADESH,JABALPUR,2023
411,Lakhan Ghanghoria,INC,2,Graduate Professional,64,241458399,44135536,JABALPUR PURBA (SC),MADHYA PRADESH,JABALPUR,2023
412,Abhilash Pandey,BJP,1,Doctorate,40,67642132,0,JABALPUR UTTAR,MADHYA PRADESH,JABALPUR,2023
413,Sushil Kumar Tiwari (Indu Bhaiya),BJP,0,Graduate,64,231031322,26121042,PANAGAR,MADHYA PRADESH,JABALPUR,2023
414,Ajay Vishnoi,BJP,0,Graduate,71,129904933,915440,PATAN,MADHYA PRADESH,JABALPUR,2023
415,Santosh Varkade,BJP,0,Post Graduate,44,2583783,1205000,SIHORA (ST),MADHYA PRADESH,JABALPUR,2023
416,Dr. Vikrant Bhuria,INC,10,Post Graduate,39,63350747,5670473,JHABUA (ST),MADHYA PRADESH,JHABUA,2023
417,Nirmala Dileepsingh Bhuria,BJP,0,Graduate,55,22873409,0,PETLAWAD (ST),MADHYA PRADESH,JHABUA,2023
418,Veersingh Bhuriya,INC,0,12th Pass,58,8849504,3.00E+05,THANDLA (ST),MADHYA PRADESH,JHABUA,2023
419,Pranay Prabhat Pandey (Guddu Bhaiya),BJP,1,Post Graduate,45,32964282,2973410,BAHORIBAND,MADHYA PRADESH,KATNI,2023
420,Dhirendra Bahadur Singh (Dhiru),BJP,0,Post Graduate,43,7912000,1071000,BARWARA (ST),MADHYA PRADESH,KATNI,2023
421,Sandeep Shriprasad Jaiswal,BJP,1,Post Graduate,59,107662214,10588577,MURWARA,MADHYA PRADESH,KATNI,2023
422,Sanjay Satyendra Pathak,BJP,1,Post Graduate,52,2420928551,195984803,VIJAYRAGHAVGARH,MADHYA PRADESH,KATNI,2023
423,Kunwar Vijay Shah,BJP,0,Post Graduate,59,178776841,15981045,HARSUD (ST),MADHYA PRADESH,KHANDWA,2023
424,Kanchan Mukesh Tanve,BJP,0,12th Pass,41,2693552,114567,KHANDWA (SC),MADHYA PRADESH,KHANDWA,2023
